name,asymmetry,diameter,red,green,blue,contrast,correlation,energy,homogeneity
ISIC_0024397,1,4.46,59.0563,23.528,23.1296,245.9457,0.9401,0.618,0.7168
ISIC_0024398,1,1.4,6.398,2.3069,2.5291,78.3093,0.8743,0.9535,0.9597
ISIC_0024399,0,2.88,24.2504,8.0722,7.2533,134.5092,0.9307,0.8414,0.8754
ISIC_0024400,0,4.54,22.7767,17.0134,19.5253,294.0732,0.9171,0.8107,0.8448
ISIC_0024401,0,3.3,35.7163,14.2166,14.1736,239.3479,0.935,0.7995,0.8453
ISIC_0024402,0,4.86,36.5827,31.5997,36.9811,487.4147,0.9502,0.8043,0.9055
ISIC_0024403,0,3.38,17.0325,10.2497,10.4493,235.3239,0.9127,0.8881,0.901
ISIC_0024404,1,1.56,5.9368,2.2988,2.5981,75.9806,0.8733,0.9569,0.9626
ISIC_0024405,0,2.24,15.1295,6.3612,6.8407,135.2026,0.9234,0.9069,0.9239
ISIC_0024406,1,1.96,9.7165,6.389,5.3261,117.8418,0.9109,0.9169,0.9255
ISIC_0024407,0,1.56,7.285,1.9136,2.8522,66.3965,0.8714,0.939,0.9481
ISIC_0024408,1,0.06,2.044,1.3123,1.2923,30.7651,0.8692,0.9762,0.9785
ISIC_0024409,1,4.66,7.3218,5.1961,5.2597,134.4001,0.8551,0.9167,0.925
ISIC_0024410,0,2.36,9.0514,4.5876,5.1669,62.5328,0.9267,0.9148,0.9311
ISIC_0024411,0,4.88,32.0581,22.2569,25.8643,523.6938,0.9263,0.8348,0.8759
ISIC_0024412,2,6.06,75.479,61.2285,58.8638,465.4546,0.9515,0.5136,0.6499
ISIC_0024413,0,2.88,24.534,8.3892,10.1093,110.9035,0.95,0.8508,0.8849
ISIC_0024414,1,2.96,21.4195,6.5951,6.5704,148.7612,0.9077,0.8501,0.8824
ISIC_0024415,0,5.68,77.1917,20.5106,20.3943,173.9668,0.9385,0.4776,0.6202
ISIC_0024416,0,4.8,19.7036,17.3015,16.2274,295.3901,0.9278,0.8544,0.8884
ISIC_0024417,0,2.14,14.8655,5.3669,6.2703,105.622,0.9285,0.9056,0.9242
ISIC_0024418,0,1.4,6.0501,3.1075,2.4218,78.4816,0.8972,0.9549,0.9603
ISIC_0024419,0,1.74,13.0162,4.656,4.0055,108.8807,0.9207,0.9254,0.9381
ISIC_0024420,0,3.46,21.4317,14.5784,15.5123,465.5975,0.8796,0.8555,0.8732
ISIC_0024421,0,4.46,58.5656,28.9331,23.747,250.7904,0.9631,0.6995,0.7936
ISIC_0024422,1,2.82,19.3836,13.2193,12.1662,263.6526,0.9316,0.8886,0.9102
ISIC_0024423,0,2.6,15.2157,4.9055,4.8295,91.5798,0.9199,0.8913,0.9126
ISIC_0024424,2,1.36,70.7056,52.9348,46.9136,717.975,0.9063,0.5069,0.6187
ISIC_0024425,1,2.46,19.1589,12.8117,11.4536,213.7436,0.9358,0.8788,0.9015
ISIC_0024426,0,4.6,51.3384,34.3306,34.3883,669.719,0.9234,0.7148,0.765
ISIC_0024427,0,3.48,41.6677,17.7494,19.0131,281.3594,0.9426,0.7829,0.8371
ISIC_0024428,0,2.48,22.8889,9.6173,9.2305,165.6824,0.937,0.8685,0.8932
ISIC_0024429,1,4.98,50.7788,13.8882,15.8912,252.4921,0.9217,0.6781,0.7375
ISIC_0024430,0,2.22,17.7514,7.6808,6.7201,168.878,0.9236,0.8986,0.9162
ISIC_0024431,0,2.14,1.5182,0.9278,1.3729,37.1013,0.754,0.9697,0.9766
ISIC_0024432,0,4.76,14.3156,10.7687,10.0893,125.299,0.9162,0.8063,0.8661
ISIC_0024433,0,2.14,13.0113,6.213,5.116,105.8337,0.9428,0.9285,0.9436
ISIC_0024434,0,2.46,22.9043,10.8434,9.2593,167.2381,0.9523,0.8902,0.9133
ISIC_0024435,0,4.82,17.4464,12.0386,12.7352,244.2749,0.9141,0.873,0.9051
ISIC_0024436,0,2.54,18.2809,12.4772,14.4192,178.7713,0.9517,0.8924,0.9183
ISIC_0024437,0,1.0,2.8703,1.306,1.0453,45.624,0.8379,0.9744,0.9766
ISIC_0024438,1,5.5,72.0413,32.4533,32.2178,405.1586,0.9455,0.6332,0.7297
ISIC_0024439,0,4.64,18.01,13.7145,10.7147,286.6728,0.9155,0.8799,0.9053
ISIC_0024440,0,3.36,28.5788,11.4766,10.6437,254.4887,0.9171,0.8315,0.8687
ISIC_0024441,0,3.28,39.9212,22.693,19.6967,273.2398,0.9506,0.7731,0.8179
ISIC_0024442,0,3.1,31.7081,13.8884,14.317,205.5408,0.9471,0.8304,0.8688
ISIC_0024443,0,5.52,62.236,51.1053,50.2705,1307.1151,0.8858,0.6347,0.7178
ISIC_0024444,0,2.6,19.9824,7.1621,8.8354,138.4869,0.9201,0.8599,0.8854
ISIC_0024445,0,2.22,12.3315,9.3508,9.4583,214.2761,0.909,0.9093,0.9269
ISIC_0024446,0,0.52,21.004,18.6714,21.7136,217.034,0.9437,0.8223,0.8653
ISIC_0024447,1,1.92,12.9724,8.2551,6.673,136.4378,0.9286,0.907,0.9198
ISIC_0024448,1,0.38,57.222,42.6355,45.7137,814.682,0.902,0.6263,0.7283
ISIC_0024449,1,5.62,62.5727,35.6146,34.3562,546.8671,0.9009,0.5458,0.6235
ISIC_0024450,1,0.02,0.6891,0.4323,0.4574,21.8933,0.6598,0.9848,0.9866
ISIC_0024451,0,4.48,70.3138,28.3533,33.7954,340.9761,0.9429,0.6137,0.7123
ISIC_0024452,1,2.6,23.5778,14.9584,11.3158,243.7294,0.9443,0.874,0.9056
ISIC_0024453,0,1.04,25.9164,17.5836,16.044,446.311,0.8982,0.8313,0.863
ISIC_0024454,0,4.8,33.8196,24.943,25.2684,450.0946,0.9296,0.796,0.8521
ISIC_0024455,0,1.8,11.4445,5.5647,5.2461,169.2988,0.9129,0.9434,0.954
ISIC_0024456,0,2.84,21.1067,7.426,7.7004,166.1377,0.9263,0.8856,0.9078
ISIC_0024457,0,3.72,21.5441,12.2561,13.8478,324.7672,0.9056,0.8628,0.8801
ISIC_0024458,0,4.22,40.1804,27.7696,29.0602,283.5705,0.9304,0.6402,0.7034
ISIC_0024459,0,4.56,42.9114,30.9338,33.0462,297.5611,0.9209,0.5772,0.6711
ISIC_0024460,0,3.3,17.5243,5.6799,6.5015,143.5065,0.9005,0.88,0.9003
ISIC_0024461,1,2.84,22.7282,15.2316,16.6787,589.2524,0.8944,0.8889,0.9207
ISIC_0024462,0,4.14,45.7676,13.9823,14.8632,201.853,0.9231,0.6614,0.7305
ISIC_0024463,0,4.68,46.6868,33.6439,34.6481,611.9048,0.9098,0.6837,0.7452
ISIC_0024464,0,4.54,61.7311,30.257,31.7949,359.395,0.9361,0.6181,0.6856
ISIC_0024465,0,3.94,45.1681,14.5151,17.1263,157.2578,0.9511,0.7227,0.7967
ISIC_0024466,0,3.36,36.084,21.5562,24.3048,332.3977,0.939,0.7854,0.8268
ISIC_0024467,0,1.9,6.96,2.1853,2.9894,61.369,0.8604,0.9304,0.942
ISIC_0024468,0,6.26,100.6087,49.8797,57.0414,1041.5131,0.9073,0.5362,0.6247
ISIC_0024469,0,3.8,50.8559,25.6167,24.0441,533.9737,0.932,0.7685,0.8232
ISIC_0024470,2,5.64,65.1444,39.9682,38.7429,401.7936,0.9415,0.5851,0.6823
ISIC_0024471,0,0.14,54.998,43.9,39.0494,539.2977,0.9308,0.6214,0.7042
ISIC_0024472,0,4.76,20.2773,13.1249,14.4709,331.2927,0.9143,0.8831,0.9114
ISIC_0024473,0,2.98,19.7572,8.1836,8.2742,230.1479,0.9024,0.8844,0.9031
ISIC_0024474,1,5.66,82.1163,38.6719,47.1229,369.8506,0.9428,0.5176,0.6572
ISIC_0024475,1,1.76,10.8745,3.6469,6.572,100.0169,0.9158,0.935,0.9476
ISIC_0024476,0,6.08,53.0622,36.6701,40.1359,572.8359,0.9299,0.681,0.7529
ISIC_0024477,0,3.86,32.8691,20.5314,21.1895,345.4307,0.9352,0.8064,0.8516
ISIC_0024478,0,2.04,10.2785,4.473,4.104,97.8778,0.9314,0.9446,0.955
ISIC_0024479,0,2.26,16.0623,11.1595,8.9886,194.3425,0.9333,0.8942,0.9155
ISIC_0024480,1,3.22,19.0931,10.9151,12.5073,256.2394,0.8935,0.8524,0.8768
ISIC_0024481,0,2.14,11.9892,8.9488,8.4252,157.4149,0.9326,0.9175,0.9313
ISIC_0024482,0,4.2,53.1176,30.6744,28.5425,352.4221,0.9403,0.657,0.7161
ISIC_0024483,0,2.6,23.0521,7.7564,7.1709,145.4583,0.9286,0.8609,0.8887
ISIC_0024484,0,3.24,34.2895,14.9839,15.0271,311.59,0.9264,0.8174,0.8507
ISIC_0024485,0,1.62,9.5986,3.8406,3.4817,106.016,0.9114,0.9468,0.9566
ISIC_0024486,1,1.36,5.3854,1.7494,2.0049,47.0574,0.9097,0.9661,0.9713
ISIC_0024487,1,1.9,11.7282,4.6205,4.4583,111.2033,0.9114,0.926,0.9373
ISIC_0024488,0,2.3,23.8541,12.2774,10.0156,226.9741,0.9404,0.881,0.9118
ISIC_0024489,0,1.16,0.6907,0.5192,0.7286,18.9358,0.7556,0.9888,0.9905
ISIC_0024490,0,4.54,3.6542,2.1425,2.449,72.8619,0.7509,0.9325,0.9452
ISIC_0024491,0,3.34,12.5902,4.1116,3.8858,156.0231,0.8551,0.9136,0.9284
ISIC_0024492,0,1.72,6.0536,1.3535,1.7869,37.4771,0.884,0.9473,0.9606
ISIC_0024493,0,5.86,75.3052,34.2675,41.6391,344.0823,0.9417,0.5465,0.6615
ISIC_0024494,0,3.44,38.636,19.2949,20.964,245.2437,0.9331,0.7083,0.7555
ISIC_0024495,0,1.16,3.5307,2.2839,1.984,69.6255,0.873,0.9718,0.9749
ISIC_0024496,0,3.18,22.3972,10.1903,10.2641,154.0006,0.9263,0.8279,0.8579
ISIC_0024497,0,2.68,21.4785,11.9052,9.331,189.8455,0.9229,0.8373,0.8592
ISIC_0024498,0,1.28,0.5718,0.3024,0.3156,10.6247,0.6354,0.9857,0.9874
ISIC_0024499,0,2.72,21.3771,9.1552,8.6293,199.7648,0.9235,0.8796,0.9015
ISIC_0024500,1,1.74,8.8421,2.6606,3.1081,64.6564,0.8931,0.9254,0.9383
ISIC_0024501,0,2.84,18.0455,5.7196,6.2091,143.4944,0.8983,0.8664,0.8895
ISIC_0024502,0,2.06,15.3512,5.7066,5.8224,106.3194,0.9316,0.9059,0.9264
ISIC_0024503,0,2.28,17.8675,10.7852,10.2025,198.5926,0.9392,0.9017,0.917
ISIC_0024504,0,3.74,32.0612,21.5713,21.1776,426.2256,0.9301,0.8212,0.8595
ISIC_0024505,0,2.62,22.3591,13.7489,11.4436,244.7027,0.9339,0.8685,0.9005
ISIC_0024506,1,2.12,16.1719,6.1983,5.4599,143.5468,0.9143,0.8998,0.914
ISIC_0024507,0,2.7,26.8372,15.218,10.9776,238.907,0.9305,0.8239,0.8514
ISIC_0024508,0,3.82,32.9627,11.523,12.3186,211.9697,0.9055,0.7506,0.79
ISIC_0024509,0,0.02,25.1303,10.4261,9.0856,256.551,0.9178,0.868,0.8871
ISIC_0024510,0,3.22,32.3246,10.0615,9.3957,174.2373,0.9253,0.7921,0.8445
ISIC_0024511,1,4.86,21.396,14.651,18.691,245.0649,0.9246,0.8328,0.8735
ISIC_0024512,0,4.06,55.5092,22.6872,30.945,321.4348,0.9421,0.6964,0.7817
ISIC_0024513,0,2.86,25.4486,10.2212,11.3,161.3475,0.9298,0.8207,0.8624
ISIC_0024514,0,2.32,20.6094,9.804,7.536,179.1204,0.9264,0.8698,0.8924
ISIC_0024515,1,3.22,23.615,13.3113,12.6417,359.8021,0.8942,0.8475,0.8743
ISIC_0024516,0,4.04,43.18,22.8424,20.7095,212.9741,0.9517,0.7123,0.7707
ISIC_0024517,0,5.18,58.9029,37.5341,35.1217,1063.9882,0.8986,0.7128,0.7796
ISIC_0024518,0,3.84,28.3288,14.5583,14.5375,208.4134,0.9098,0.7266,0.766
ISIC_0024519,0,1.44,6.2,3.2529,2.0706,69.2382,0.9028,0.9515,0.9583
ISIC_0024520,0,3.56,24.4549,12.8872,14.2761,205.0168,0.9193,0.7883,0.8271
ISIC_0024521,0,2.42,17.6508,6.2574,5.4632,122.6546,0.9295,0.8958,0.9164
ISIC_0024522,0,4.3,26.4781,20.1931,19.3209,588.7786,0.8903,0.8335,0.8843
ISIC_0024523,0,5.76,97.7418,49.4137,50.9168,375.6243,0.9462,0.441,0.6045
ISIC_0024524,0,1.42,3.4507,1.1603,1.5723,38.9433,0.8086,0.955,0.9623
ISIC_0024525,2,7.4,86.2212,64.1322,66.0113,898.7231,0.9184,0.4959,0.5991
ISIC_0024526,1,3.02,14.3506,4.2497,4.2494,56.1205,0.9289,0.8698,0.9055
ISIC_0024527,0,3.46,34.4922,13.405,11.624,230.0739,0.9331,0.8068,0.8527
ISIC_0024528,0,2.16,17.0235,8.5501,7.527,217.357,0.9203,0.912,0.9332
ISIC_0024529,0,3.26,28.548,14.872,15.9178,169.8033,0.9331,0.751,0.7972
ISIC_0024530,1,2.46,15.9637,7.5954,7.2657,118.3297,0.9495,0.9158,0.9367
ISIC_0024531,0,2.68,17.9509,6.4356,6.0848,87.0717,0.9413,0.8746,0.906
ISIC_0024532,0,2.26,17.6428,8.2937,8.2778,197.9602,0.9252,0.9081,0.9262
ISIC_0024533,0,2.06,14.0863,5.2045,5.338,104.5358,0.9286,0.9156,0.9318
ISIC_0024534,0,5.56,95.5914,43.0602,31.8812,368.2097,0.9506,0.5065,0.6336
ISIC_0024535,1,5.02,68.1806,14.149,16.1616,195.3713,0.9356,0.5918,0.6801
ISIC_0024536,0,2.32,13.8543,4.9139,4.8583,123.0015,0.9125,0.9156,0.9296
ISIC_0024537,1,3.12,25.1089,14.6682,15.0425,224.1925,0.9278,0.8159,0.8513
ISIC_0024538,0,6.48,104.8818,60.0254,56.5197,936.2107,0.9134,0.4749,0.5704
ISIC_0024539,0,4.04,45.8337,27.2463,27.9999,444.9295,0.9268,0.7104,0.75
ISIC_0024540,0,2.16,8.3477,3.0139,3.2034,46.2049,0.9156,0.9181,0.9355
ISIC_0024541,1,1.8,7.3498,2.5786,3.1986,67.8484,0.8908,0.9411,0.9504
ISIC_0024542,0,1.18,5.4155,2.1453,1.8713,70.1347,0.8952,0.9692,0.9738
ISIC_0024543,0,5.08,43.9918,14.6872,17.4273,168.8021,0.9423,0.7,0.7724
ISIC_0024544,0,4.14,72.0306,29.4002,30.428,401.1614,0.939,0.6287,0.72
ISIC_0024545,1,3.88,34.6524,24.4211,25.6393,334.2661,0.9352,0.7241,0.7587
ISIC_0024546,0,3.68,39.0357,21.2506,19.9527,374.5601,0.928,0.7733,0.8259
ISIC_0024547,0,3.78,44.142,29.7443,26.9078,337.2943,0.9537,0.7501,0.8031
ISIC_0024548,0,1.76,10.1646,4.2763,4.3416,81.7708,0.9382,0.9439,0.9571
ISIC_0024549,0,2.94,20.5325,8.1116,7.547,155.6326,0.9335,0.8866,0.9134
ISIC_0024550,0,3.08,22.0131,15.8148,16.802,393.6594,0.9207,0.8772,0.9041
ISIC_0024551,0,4.08,55.986,27.2555,27.0683,391.3376,0.9405,0.704,0.7698
ISIC_0024552,0,4.16,43.1129,24.9957,21.9744,336.3997,0.9252,0.6885,0.7472
ISIC_0024553,1,3.8,45.1801,24.9275,28.5262,729.6195,0.9127,0.7938,0.84
ISIC_0024554,0,5.58,85.0664,54.9288,53.7537,562.2744,0.9476,0.5513,0.6793
ISIC_0024555,0,4.54,57.632,32.0135,34.6728,601.9355,0.9362,0.7339,0.8396
ISIC_0024556,0,1.76,11.0259,5.4134,5.5121,126.6673,0.9249,0.9388,0.9505
ISIC_0024557,0,3.68,47.8929,17.6697,17.4768,302.7937,0.9356,0.7491,0.7955
ISIC_0024558,0,3.84,47.0131,18.1904,17.694,256.0999,0.9409,0.7331,0.7918
ISIC_0024559,1,4.92,49.108,18.3848,22.4677,250.3269,0.9277,0.6647,0.7328
ISIC_0024560,1,3.18,14.1992,6.8781,6.1333,129.8539,0.9187,0.897,0.9126
ISIC_0024561,1,1.62,8.9515,4.9521,3.8524,99.531,0.9142,0.9352,0.9446
ISIC_0024562,0,0.04,26.7311,14.4783,13.3305,293.0573,0.9284,0.8528,0.8794
ISIC_0024563,0,3.28,43.7605,16.2585,17.4897,198.8592,0.9491,0.745,0.799
ISIC_0024564,0,3.08,27.2855,20.5685,21.6282,559.7549,0.9197,0.8607,0.8971
ISIC_0024565,0,2.34,16.3792,6.2325,7.8088,123.7831,0.9166,0.8816,0.9055
ISIC_0024566,1,4.52,16.2264,13.4018,12.517,506.4695,0.8715,0.8988,0.9178
ISIC_0024567,1,0.08,14.3662,4.4908,5.4094,106.3344,0.9129,0.9059,0.9233
ISIC_0024568,0,2.14,16.3562,5.1111,5.4636,110.7157,0.9209,0.8976,0.9192
ISIC_0024569,0,2.34,16.6187,5.8089,5.9521,117.8112,0.9209,0.8917,0.9146
ISIC_0024570,0,4.02,50.919,26.3083,24.4186,488.2686,0.9362,0.7596,0.8161
ISIC_0024571,0,0.1,18.8713,10.9272,10.1198,387.5423,0.8715,0.8829,0.8992
ISIC_0024572,0,2.94,20.2883,14.5236,15.0726,316.389,0.9318,0.8894,0.9191
ISIC_0024573,0,3.54,24.3355,17.6669,19.8978,243.3081,0.9452,0.8407,0.9066
ISIC_0024574,1,2.0,19.4073,9.3291,9.2942,184.6908,0.9395,0.9033,0.9278
ISIC_0024575,1,6.8,60.3284,42.4593,39.4414,965.115,0.8923,0.6366,0.7004
ISIC_0024576,0,2.44,11.0318,3.2903,4.6885,63.0932,0.9347,0.9293,0.9475
ISIC_0024577,0,2.08,6.946,3.0458,3.0641,62.4713,0.8874,0.931,0.9415
ISIC_0024578,0,2.18,20.0202,12.6236,11.8011,178.8145,0.9489,0.8832,0.9183
ISIC_0024579,0,2.76,18.7085,12.4689,11.8233,353.4549,0.9146,0.9021,0.9216
ISIC_0024580,0,2.34,13.0972,2.8454,2.6846,118.3232,0.8652,0.9068,0.9179
ISIC_0024581,0,2.58,1.9314,1.4143,2.0231,65.9724,0.6364,0.9489,0.9545
ISIC_0024582,0,2.42,15.6748,11.6437,11.1185,423.3717,0.888,0.9135,0.9365
ISIC_0024583,0,4.04,36.7871,11.7704,12.6137,127.714,0.9483,0.7492,0.8136
ISIC_0024584,0,2.36,16.1458,5.4728,5.3998,116.0142,0.9175,0.892,0.9092
ISIC_0024585,0,3.26,30.2959,10.9315,9.3872,182.7738,0.9296,0.8117,0.8521
ISIC_0024586,1,1.56,1.3578,1.1383,1.3085,50.5017,0.7832,0.9812,0.9833
ISIC_0024587,0,5.74,55.9561,36.3067,39.2005,271.8237,0.9142,0.4138,0.5251
